Gene	Chr	Start	End	No.SNPs	SNP_start	SNP_end	TopSNP	TopSNP_Pvalue	No.Eigenvalues	Chisq_mBAT	P_mBATcombo	P_mBAT	Chisq_fastBAT	P_fastBAT
TMEM191C	22	21820712	21825558	6	rs458361	rs460106	rs3747086	0.0856879	2	1.86493100719713	0.315609420724597	0.393582134982322	5.31453	0.256343
RIMBP3C	22	21899955	21905750	74	rs5754100	rs146443434	rs117923774	0.114321	8	5.38280454868675	0.782559806511592	0.715986781555434	10.3241	0.826676
UBE2L3	22	21903736	21978323	226	rs5754100	rs3788329	rs73166641	0.0339155	13	12.6910118841853	0.481235000649562	0.471952058583397	55.7996	0.49055
YDJC	22	21982378	21984353	224	rs5754177	rs2034572	rs73166641	0.0339155	11	11.7014019634538	0.450534647148484	0.386501208447513	61.7114	0.51881
CCDC116	22	21987005	21991618	246	rs189485940	rs861830	rs73166641	0.0339155	11	11.355388609752	0.433049248253408	0.413988024697484	56.8101	0.45261
SDF2L1	22	21996591	21998588	249	rs2266963	rs861821	rs73166641	0.0339155	10	7.6264849806015	0.599814264424703	0.665268930244162	57.4429	0.524474
PPIL2	22	22020289	22054304	383	rs4821114	rs74727677	rs8135616	0.0034707	16	10.4122402335014	0.748787576676593	0.844232175046987	102.744	0.533967
YPEL1	22	22051825	22090083	407	rs62235078	rs9610317	rs8135616	0.0034707	15	9.69698681404774	0.816369783041566	0.838355023485603	79.9937	0.788475
MAPK1	22	22113946	22221970	481	rs8137977	rs117189726	rs8135616	0.0034707	21	17.4256297360771	0.784541677600774	0.685004906920817	99.8007	0.840967
PPM1F	22	22273798	22307220	314	rs55762115	rs149970818	rs5995345	0.0124807	16	15.3634805821479	0.519312799480496	0.498194985371534	81.5396	0.540262
TOP3B	22	22311397	22337210	308	rs8137156	rs419893	rs5995345	0.0124807	16	13.7482824830908	0.574423420782705	0.617460005683667	81.169	0.528445
VPREB1	22	22599192	22599927	201	rs5757315	rs6001700	rs6001297	0.0331673	15	17.4728980468005	0.332701277128204	0.291388903099983	61.4273	0.381279
IGLL5	22	23229960	23238291	140	rs17511944	rs150055926	rs418064	0.107021	18	12.8675642983018	0.839276944799871	0.79937983399192	48.9143	0.866756
RSPH14	22	23401593	23487208	385	rs77978020	rs9624048	rs55905897	0.00290018	18	24.2154490806472	0.16892640885217	0.148095275941394	150.188	0.195723
GNAZ	22	23412705	23467219	324	rs882511	rs4822369	rs55905897	0.00290018	18	21.8489360512801	0.254386356034417	0.238761014450767	111.357	0.27166
RAB36	22	23487553	23507850	257	rs1805058	rs743585	rs78635061	0.00746078	13	16.7172207552338	0.258295417412026	0.212555658998527	77.8908	0.320972
BCR	22	23521891	23660224	632	rs4822356	rs9608133	rs112811113	0.000849488	29	23.9927483245677	0.512602647717362	0.729289150889982	208.142	0.285528
IGLL1	22	23915312	23922489	324	rs131373	rs8137495	rs2877164	0.00710775	41	43.526329398641	0.321144863836728	0.36437445835693	196.829	0.2842
DRICH1	22	23950639	23974508	356	rs131416	rs2330579	rs9620314	0.00206125	28	31.0295112003023	0.238726020673538	0.315771625369135	178.644	0.187803
RGL4	22	24030323	24041363	310	rs3207409	rs4820565	rs9608176	0.000382276	10	17.7341720249655	0.0205894262452178	0.0596167953024403	127.605	0.0124277
ZNF70	22	24080869	24093299	252	rs2070445	rs9608186	rs9608176	0.000382276	20	37.4958510298116	0.00993963683085552	0.0101982294736031	180.82	0.00969383
VPREB3	22	24094930	24096612	245	rs7291110	rs5760033	rs9608176	0.000382276	19	37.3828167769399	0.00845062627781168	0.00710412445676375	176.404	0.0104267
C22orf15	22	24105177	24108050	268	rs9612403	rs4413253	rs9608176	0.000382276	16	31.8393759470984	0.0135887344531991	0.0104921740333245	159.837	0.0192752
CHCHD10	22	24108021	24110159	285	rs8135668	rs8135947	rs9608176	0.000382276	16	32.4099477354906	0.012625580859863	0.00883961582864673	159.052	0.022075
MMP11	22	24110413	24126503	399	rs11705400	rs5030613	rs11705400	0.000387506	13	25.1990258881651	0.0282234951533157	0.0217319214351864	151.027	0.0402158
SMARCB1	22	24129118	24180196	509	rs736860	rs8141314	rs5759990	0.000923426	19	31.8581743405212	0.0517434232020691	0.0324232343818629	172.156	0.125128
DERL3	22	24176690	24181315	405	rs112242997	rs1984309	rs113638588	0.0112913	12	13.1117875095446	0.406596981198668	0.360968142651414	80.0839	0.456518
SLC2A11	22	24198890	24228499	555	rs5760034	rs58701465	rs113638588	0.0112913	16	14.13100494581	0.649511591165484	0.588954777307826	100.913	0.700349
MIF	22	24236570	24237414	330	rs6003913	rs58701465	rs113638588	0.0112913	14	12.2401297536403	0.648914769653227	0.587025228118549	69.4494	0.700731
GSTT2B	22	24299601	24303382	136	rs7289663	rs7291499	rs5760114	0.0825398	7	4.71458522440085	0.737325021765539	0.694747055091103	23.072	0.771501
DDTL	22	24309076	24314745	94	rs75808160	rs7291499	rs5760114	0.0825398	7	4.64502760095277	0.734126782631844	0.703190434790959	17.1742	0.760446
DDT	22	24313554	24322019	72	rs113362273	rs7291499	rs6003970	0.129392	6	4.43158957271371	0.7950183994623	0.618481590103988	10.6281	0.868106
CABIN1	22	24407642	24574596	405	rs8140144	rs9624432	rs17641238	0.00989298	23	22.8524543057291	0.405057817175142	0.469414074268975	124.117	0.347741
SUSD2	22	24577455	24585074	260	rs2003756	rs5760271	rs148492066	0.01219	19	21.3083887734881	0.340209029676465	0.320013645430967	99.9058	0.361914
GGT5	22	24615622	24641076	281	rs5760234	rs188431829	rs5760311	0.00258943	22	22.7909435191642	0.324429048063085	0.413613706884633	130.047	0.257778
SPECC1L	22	24666785	24813707	542	rs8140505	rs62234053	rs5760414	0.00212548	18	19.9462537395858	0.156407772706319	0.335853684007117	187.451	0.0972555
ADORA2A	22	24813847	24838325	293	rs79694428	rs62231885	rs5760414	0.00212548	13	19.7754553098369	0.0336483224698019	0.10095240483728	120.215	0.020116
UPB1	22	24890075	24924358	297	rs5760423	rs117279121	rs5760455	0.00176301	18	23.2687217324211	0.00302077011123347	0.180473840514598	254.719	0.00152176
GUCD1	22	24936391	24951903	244	rs181858029	rs5751904	rs5760455	0.00176301	22	29.829244252625	0.00621946908564763	0.122674085794597	203.654	0.00318678
SNRPD3	22	24951926	24978020	219	rs185892389	rs5747734	rs146084507	0.00217735	22	32.6686207630761	0.0353579807028699	0.0666898631621622	136.954	0.0240178
LRRC75B	22	24981588	24989175	169	rs62231927	rs144810123	rs146084507	0.00217735	23	35.0230528569834	0.053182125696009	0.0517420887489214	105.901	0.0547038
GGT1	22	24990778	25024972	163	rs743367	rs6004233	rs146084507	0.00217735	24	37.4084955761431	0.0487997519534576	0.0398200163462183	111.83	0.0629407
PIWIL3	22	25115001	25170687	540	rs145324449	rs5760689	rs118150905	0.0137837	26	18.1712598388442	0.839063293542783	0.869453934077252	124.887	0.792783
SGSM1	22	25202136	25323545	755	rs4822538	rs5760771	rs5752023	0.00794738	40	34.2993865326112	0.745484108958336	0.7240373144712	202.903	0.76445
TMEM211	22	25331065	25342662	266	rs16979156	rs75407234	rs5752023	0.00794738	32	33.4309528008568	0.484411088521629	0.397655149493591	89.7092	0.573487
KIAA1671	22	25348683	25593415	853	rs139741	rs2016805	rs6004459	0.0021634	52	55.8001545851221	0.0838136920590127	0.33397234866493	444.234	0.0461784
CRYBB3	22	25595825	25603326	333	rs875352	rs146091142	rs6004459	0.0021634	31	35.7688442737731	0.0490864284208765	0.25434720386278	224.622	0.0267009
CRYBB2	22	25608531	25627837	346	rs5760886	rs73164639	rs6004459	0.0021634	34	40.3991428962995	0.0483524613581838	0.208446710531694	212.618	0.0269964
MYO18B	22	26138111	26427011	1167	rs7285470	rs5761370	rs133885	0.00200972	63	56.7802583824687	0.625071062992876	0.696207175249187	408.524	0.538159
SEZ6L	22	26565428	26779563	1028	rs134729	rs79294516	rs596089	0.000479103	55	69.3587842897466	0.0363939546680334	0.0921469425143608	594.61	0.0226032
ASPHD2	22	26825226	26840981	374	rs28702590	rs11703192	rs7284717	0.00640942	22	24.6195856062909	0.290777185777173	0.315610027618322	139.757	0.268609
HPS4	22	26839389	26879803	435	rs11090440	rs9613198	rs113641601	0.00649819	24	18.6572417658074	0.667745308139294	0.770013224224441	130.329	0.50935
SRRD	22	26879843	26890624	351	rs3747128	rs11703123	rs77332738	0.0142701	20	19.0405241215997	0.511554330216649	0.519193324859542	105.648	0.503902
TFIP11	22	26887191	26908471	415	rs9613182	rs34473250	rs77332738	0.0142701	22	20.5213664210614	0.544868064706092	0.550462092361693	118.271	0.539246
TPST2	22	26917962	26992681	573	rs17401652	rs67228032	rs77332738	0.0142701	29	25.993664436097	0.628796563070084	0.625829627923119	173.612	0.63174
CRYBB1	22	26995242	27013991	416	rs9608498	rs4822766	rs113853484	0.0148233	23	15.7578000977377	0.79156059143803	0.865439203909588	144.956	0.616073
CRYBA4	22	27017927	27026633	364	rs2267095	rs5761677	rs113853484	0.0148233	22	14.6695716519182	0.787533352865485	0.876023860941231	135.998	0.532099
MN1	22	28144265	28197744	325	rs9625297	rs144475834	rs145343820	0.000897701	45	52.6570894407468	0.115654966556462	0.20190967968816	250.43	0.0798784
PITPNB	22	28247657	28316122	276	rs8136754	rs34734418	rs7287702	0.0188905	17	16.9426356637967	0.489217169171146	0.458259105620203	71.8164	0.52038
TTC28	22	28374002	29075828	1344	rs5762408	rs74277584	rs57071456	0.00657734	24	20.1214992413207	0.413574160537572	0.689846141692935	364.012	0.216569
CHEK2	22	29083731	29138410	319	rs113946564	rs5762799	rs57071456	0.00657734	16	14.9574961624497	0.107780749224834	0.527753766083937	164.163	0.0546558
HSCB	22	29138027	29153503	270	rs5762746	rs9941965	rs5762777	0.010018	12	13.8538298383006	0.120595817781153	0.310139730970579	134.708	0.0720055
CCDC117	22	29168662	29185289	296	rs2347443	rs111735113	rs5762777	0.010018	10	11.6743546434184	0.151243480023482	0.307441727377507	113.677	0.0965193
XBP1	22	29190543	29196585	291	rs5752783	rs141270514	rs5762777	0.010018	9	10.0392307616485	0.279839549230096	0.347318606469193	75.7498	0.229752
ZNRF3	22	29279560	29453476	636	rs115090245	rs134676	rs118029575	0.0215026	23	15.1208671934283	0.856542243928671	0.890249312653696	129.796	0.796907
C22orf31	22	29454660	29457819	295	rs16986951	rs134680	rs60197275	0.199477	10	4.16147961798565	0.989417278873797	0.939768431311679	25.8553	0.994204
KREMEN1	22	29469023	29564321	518	rs5997432	rs79381182	rs12628352	0.00609927	21	22.7572751773744	0.38480118891807	0.357055300353414	150.935	0.414502
EMID1	22	29601885	29655586	375	rs132290	rs13055676	rs4823018	0.00804715	26	39.2115747647755	0.0729542108628862	0.0465316899519638	179.722	0.162849
RHBDD3	22	29655861	29664198	226	rs132375	rs73156525	rs72547435	0.0209941	23	40.8152762757337	0.0240998671066492	0.0124313707491916	113.714	0.290522
EWSR1	22	29663998	29696515	258	rs79381182	rs737883	rs72547435	0.0209941	22	26.4398762100869	0.273054407455591	0.233275781747206	113.579	0.323708
GAS2L1	22	29702572	29708774	158	rs113792603	rs5997467	rs112646111	0.0115629	14	12.931477537844	0.4616956731294	0.531926147478646	67.0436	0.394971
RASL10A	22	29708922	29715668	161	rs2231396	rs75756579	rs112646111	0.0115629	13	13.687049948559	0.390629356349266	0.396246759048636	61.4937	0.385082
AP1B1	22	29723669	29784572	314	rs131179	rs56355388	rs79846777	0.00182017	19	18.5534470899418	0.241591181805807	0.485799605013392	154.526	0.143616
RFPL1	22	29834572	29838444	252	rs5752906	rs56939727	rs113286287	0.00100249	21	28.3632699322667	0.111497907433176	0.130146103585831	149.743	0.0973751
NEFH	22	29876207	29887379	249	rs9613908	rs737981	rs113286287	0.00100249	19	17.3551103946629	0.261802398400835	0.565823500257276	115.621	0.143447
THOC5	22	29901868	29951205	352	rs35040119	rs1800540	rs113286287	0.00100249	17	17.4951985445214	0.211249459282525	0.421334212021954	133.262	0.13028
NIPSNAP1	22	29950797	29977316	289	rs5763286	rs17460259	rs9613979	0.011141	9	11.6149865187914	0.154076313202056	0.235894710090435	85.1069	0.112478
NF2	22	29999545	30094587	429	rs4823047	rs79366718	rs9613979	0.011141	17	20.1363752617704	0.278788453699952	0.267313422470387	125.604	0.290997
CABP7	22	30115992	30127822	286	rs2857647	rs77191376	rs142652641	0.00383123	18	15.025002478562	0.535554812425209	0.660249632309246	92.1868	0.399561
ZMAT5	22	30126945	30163000	345	rs140687911	rs17711377	rs142652641	0.00383123	20	24.7980039468971	0.272964345134748	0.209268490675452	109.74	0.369374
UQCR10	22	30163358	30166402	271	rs2527346	rs249402	rs142652641	0.00383123	13	8.64985370141358	0.6173962118224	0.798844432901715	79.6239	0.329638
ASCC2	22	30184598	30234293	362	rs131264	rs61352751	rs142652641	0.00383123	13	7.49474078009995	0.728680227674033	0.874890513765513	85.7346	0.313573
MTMR3	22	30279158	30426857	512	rs73883320	rs191213463	rs9614125	0.00518055	10	15.1405391027092	0.171926438687943	0.127021445230364	97.9746	0.255822
HORMAD2	22	30476453	30573064	414	rs41281631	rs78276112	rs4443103	0.0104232	14	13.1383766485751	0.428394204779145	0.515657808672664	109.516	0.350667
LIF	22	30636442	30642748	225	rs73164754	rs78822745	rs149661573	0.00576733	28	31.8234344128268	0.372474890780323	0.281755523202817	122.682	0.490755
OSM	22	30658818	30662840	187	rs75558925	rs5753060	rs149661573	0.00576733	26	32.908511520065	0.240049704776723	0.164768846632982	113.279	0.386367
TBC1D10A	22	30687979	30722936	286	rs929271	rs2286442	rs149661573	0.00576733	19	19.9822495496916	0.354331647327696	0.395647015913353	108.014	0.317679
SF3A1	22	30727977	30752908	312	rs11703385	rs35092409	rs141051909	0.011723	13	16.2778465312854	0.219536785980428	0.23445127736577	96.2286	0.206143
CCDC157	22	30752624	30774662	312	rs117524513	rs137948812	rs2299828	0.00246781	12	15.3179562400725	0.186248899942808	0.224507164855783	99.1713	0.15815
RNF215	22	30764800	30817760	448	rs757867	rs9619110	rs2299828	0.00246781	15	19.492451990531	0.186138437839898	0.19227900598819	104.574	0.180336
SEC14L2	22	30792930	30821291	394	rs4390846	rs139307962	rs2299828	0.00246781	16	18.0313329898678	0.235058256770309	0.322065361777621	155.972	0.180379
MTFP1	22	30821611	30825041	310	rs3804077	rs7286523	rs2299828	0.00246781	15	19.732203964441	0.191563536633872	0.182448113659684	137.046	0.201508
SEC14L3	22	30843946	30868004	401	rs150842256	rs4820015	rs2299828	0.00246781	17	22.458570330354	0.238765339265344	0.167720440058203	123.893	0.371401
SEC14L4	22	30884889	30901698	408	rs9606727	rs117382470	rs35764129	0.00931068	14	12.9921235780462	0.619429486956049	0.527143917280252	85.6426	0.694876
SEC14L6	22	30918786	30942728	391	rs12170952	rs4820876	rs5753220	0.0294446	23	18.4504233999656	0.781777045832592	0.732620063132871	92.1446	0.817516
GAL3ST1	22	30950622	30970652	423	rs9608955	rs5753252	rs9609018	0.0161409	24	16.9459714671067	0.751868401073744	0.850957191513815	139.896	0.514737
PES1	22	30972612	31003070	505	rs7290074	rs146457027	rs9609018	0.0161409	22	16.5928924481825	0.719417642426451	0.785412011714361	149.332	0.620259
TCN2	22	31002990	31023258	483	rs112346144	rs5753274	rs9621062	0.00273793	24	22.8658194256008	0.441884304570968	0.527730409561782	185.093	0.363658
SLC35E4	22	31031768	31065003	524	rs71331249	rs9606769	rs71331262	0.00232587	21	25.8948290831716	0.209786331923201	0.210487630657456	176.75	0.209089
DUSP18	22	31048038	31063874	450	rs9609016	rs76424491	rs71331262	0.00232587	18	28.5515605992498	0.0868208262589276	0.0541426524479829	154.814	0.205499
OSBP2	22	31089769	31303811	791	rs5997719	rs3788426	rs75960339	0.000325368	35	48.2119323806221	0.0508809207805307	0.0677473861989954	432.886	0.0407017
MORC2	22	31321117	31364760	205	rs144193765	rs2019182	rs116951946	0.00348726	17	24.0115516887003	0.0999517476964481	0.119121441224663	88.9962	0.085965
SMTN	22	31460091	31500743	365	rs5753425	rs62237392	rs3761430	0.00109201	20	42.6016330251568	0.00390885340805158	0.0023070073892773	242.95	0.0127843
INPP5J	22	31518717	31530683	292	rs13057068	rs28709894	rs56136528	0.000840868	17	29.4807816262197	0.0186781631347482	0.0303419057045444	205.009	0.0134879
PLA2G3	22	31530793	31536494	260	rs9621185	rs4820952	rs56136528	0.000840868	18	32.1033543738757	0.0186036127897818	0.0213757178676509	181.145	0.0164674
RNF185	22	31556168	31603005	301	rs150221132	rs2078803	rs55997441	0.000684693	18	38.6195814398922	0.00504694948490902	0.00320427854967907	190.517	0.0118747
LIMK2	22	31608225	31676066	316	rs5749224	rs140074	rs111326988	0.000617553	12	25.1230892390108	0.00899806266068226	0.0142502429541066	134.495	0.0065744
PIK3IP1	22	31677580	31688520	199	rs74582774	rs2240427	rs111326988	0.000617553	9	21.9999345253926	0.0103979633374047	0.00887918496363851	90.6254	0.0125432
PATZ1	22	31721790	31742332	221	rs8143159	rs5997971	rs111326988	0.000617553	11	28.752907798906	0.00176951137653159	0.00247911505473144	134.319	0.00137573
DRG1	22	31795590	31926620	515	rs9609264	rs62237796	rs5753577	0.0011795	12	24.6612611275639	0.00470323134825712	0.0165121791656129	187.764	0.0027419
EIF4ENIF1	22	31832963	31892094	342	rs2413052	rs146706220	rs73158601	0.00124195	10	24.120374311693	0.00845163223412071	0.00728721160495931	170.846	0.0100588
SFI1	22	31884674	32014574	649	rs62236215	rs16989385	rs16989650	0.00163864	9	21.655614201764	0.00634871150851013	0.0100369148389965	291.533	0.00464255
PISD	22	32014477	32058207	427	rs147565484	rs149364340	rs5998093	0.000928818	9	23.6986845692446	0.0028616535252125	0.00480398384538297	223.908	0.00203774
PRR14L	22	32072242	32146126	439	rs62237839	rs144743439	rs5998093	0.000928818	11	35.0652262954971	0.000460583595476516	0.00024173666748671	222.786	0.00486386
DEPDC5	22	32149853	32304019	614	rs5998098	rs2853887	rs2157212	0.00170055	17	32.3810176726299	0.0118738760626633	0.0134882611862577	327.129	0.0106045
YWHAH	22	32340508	32353590	355	rs147756739	rs117185558	rs76263860	0.00293809	15	21.9751395377215	0.0893098056951831	0.108457435541205	163.513	0.0757982
SLC5A1	22	32439248	32509016	477	rs150543416	rs138838153	rs16989883	0.00310853	9	12.6373437612483	0.105245720715984	0.179714259219551	152.476	0.0735925
C22orf42	22	32544993	32555309	361	rs76599991	rs5994496	rs16989883	0.00310853	16	27.3544058601762	0.0490377926731861	0.0377081170813923	180.142	0.0699436
RFPL2	22	32586422	32601060	430	rs146495087	rs5998338	rs145667047	0.00549387	20	24.8728433259593	0.194992763814587	0.206339162301168	197.318	0.184691
SLC5A4	22	32614451	32651334	589	rs140196255	rs4820074	rs4140501	0.000836155	24	30.3478453902203	0.091012501783134	0.17348891161169	268.559	0.0610039
RFPL3	22	32750872	32757148	629	rs62241119	rs150172194	rs2049911	0.00183177	17	22.4242930658179	0.205538102523061	0.168947431715944	197.134	0.258051
RTCB	22	32783569	32808235	616	rs5753986	rs6518780	rs880867	0.00355047	21	16.4205703943895	0.553508292081175	0.745574927675777	188.108	0.320329
BPIFC	22	32809832	32860471	613	rs5754025	rs78964538	rs880867	0.00355047	27	40.6283541118825	0.078549055260691	0.0446983887996837	210.179	0.272975
FBXO7	22	32870663	32894816	421	rs112461465	rs11089573	rs880867	0.00355047	31	43.9683779534217	0.0658186536453279	0.0613986113430573	245.186	0.0709131
